timestamp,brightness,exposure,temperature,ptp_status,ptp_servo_status,ptp_offset
1760456510826313,96.35724,221,68,Slave,Locked,387
1760456510924493,96.61249,221,68,Slave,Locked,387
1760456511028223,96.08124,219,68,Slave,Locked,382
1760456511123228,96.06881,219,68,Slave,Locked,382
1760456511224319,95.93665,215,68,Slave,Locked,382
1760456511324527,96.10803,215,68,Slave,Locked,382
1760456511424576,95.620384,215,68,Slave,Locked,382
1760456511525283,95.69593,215,68,Slave,Locked,382
1760456511624796,95.73969,216,68,Slave,Locked,382
1760456511724558,95.96279,216,68,Slave,Locked,382
1760456511826583,95.81761,218,68,Slave,Locked,382
1760456511924194,96.00549,218,68,Slave,Locked,382
1760456512026096,96.01341,218,68,Slave,Locked,382
1760456512123407,96.320984,218,68,Slave,Locked,382
1760456512224381,95.54798,218,68,Slave,Locked,382
1760456512324847,95.39051,218,68,Slave,Locked,382
1760456512425020,95.34294,217,68,Slave,Locked,382
1760456512525338,95.40907,217,68,Slave,Locked,382
1760456512624429,95.727135,214,68,Slave,Locked,382
1760456512724656,95.78251,214,68,Slave,Locked,382
1760456512825526,96.347206,209,68,Slave,Locked,382
1760456512924265,96.48776,209,68,Slave,Locked,382
1760456513027078,96.457146,205,68,Slave,Locked,383
1760456513124535,96.69607,205,68,Slave,Locked,383
1760456513225032,96.95064,202,68,Slave,Locked,383
1760456513326231,97.181305,202,68,Slave,Locked,383
1760456513424873,97.35318,199,68,Slave,Locked,383
1760456513525309,97.68791,199,68,Slave,Locked,383
1760456513624241,97.58367,197,68,Slave,Locked,383
1760456513724302,98.014046,197,68,Slave,Locked,383
1760456513824711,97.39204,196,68,Slave,Locked,383
1760456513923445,97.5899,196,68,Slave,Locked,383
1760456514026843,97.07316,195,68,Slave,Locked,386
1760456514123959,97.18272,195,68,Slave,Locked,386
1760456514224300,96.756996,195,68,Slave,Locked,386
1760456514325010,96.829956,195,68,Slave,Locked,386
1760456514425132,96.408066,197,68,Slave,Locked,386
1760456514525799,96.45799,197,68,Slave,Locked,386
1760456514625611,96.2084,196,68,Slave,Locked,386
1760456514724736,96.28338,196,68,Slave,Locked,386
1760456514826384,96.130295,192,68,Slave,Locked,386
1760456514923842,96.227,192,68,Slave,Locked,386
1760456515026777,96.051544,190,68,Slave,Locked,394
1760456515123743,96.0511,190,68,Slave,Locked,394
1760456515224469,96.04121,189,68,Slave,Locked,394
1760456515324642,95.701904,189,68,Slave,Locked,394
1760456515424934,96.10636,187,68,Slave,Locked,394
1760456515525867,96.59118,187,68,Slave,Locked,394
1760456515624859,96.886185,186,68,Slave,Locked,394
1760456515724262,97.15056,186,68,Slave,Locked,394
1760456515825804,96.47627,185,68,Slave,Locked,394
1760456515928503,96.49525,185,68,Slave,Locked,394
1760456516027591,96.183624,183,68,Slave,Locked,398
1760456516124170,96.08843,183,68,Slave,Locked,398
1760456516224519,96.05341,182,68,Slave,Locked,398
1760456516325886,96.12461,182,68,Slave,Locked,398
1760456516424806,95.634,181,68,Slave,Locked,398
1760456516525843,95.73159,181,68,Slave,Locked,398
1760456516624720,95.4304,179,68,Slave,Locked,398
1760456516723667,95.72592,179,68,Slave,Locked,398
1760456516825073,95.70564,178,68,Slave,Locked,398
1760456516929770,95.77153,178,68,Slave,Locked,403
1760456517027088,95.44442,179,68,Slave,Locked,403
1760456517123778,95.4171,179,68,Slave,Locked,403
1760456517224826,95.09162,179,68,Slave,Locked,403
1760456517325402,95.28289,179,68,Slave,Locked,403
1760456517425630,95.201385,178,68,Slave,Locked,403
1760456517526467,95.45467,178,68,Slave,Locked,403
1760456517625483,95.101654,176,68,Slave,Locked,403
1760456517724310,95.04082,176,68,Slave,Locked,403
1760456517827213,94.61525,174,68,Slave,Locked,403
1760456517928626,94.35619,174,68,Slave,Locked,403
1760456518026980,94.51373,173,68,Slave,Locked,403
1760456518123970,94.69323,173,68,Slave,Locked,403
1760456518225277,94.94952,173,68,Slave,Locked,403
1760456518325156,94.92768,173,68,Slave,Locked,403
1760456518425671,94.72998,172,68,Slave,Locked,403
1760456518526262,95.00505,172,68,Slave,Locked,403
1760456518625814,94.57994,171,68,Slave,Locked,403
1760456518725486,94.7652,171,68,Slave,Locked,403
1760456518825071,94.39506,172,68,Slave,Locked,403
1760456518929425,94.30046,172,68,Slave,Locked,407
1760456519026762,94.03341,173,68,Slave,Locked,407
1760456519124638,94.0279,173,68,Slave,Locked,407
1760456519225867,94.16343,174,68,Slave,Locked,407
1760456519326398,94.290085,174,68,Slave,Locked,407
1760456519425730,93.99133,178,68,Slave,Locked,407
1760456519525908,93.70876,178,68,Slave,Locked,407
1760456519624862,93.08068,183,68,Slave,Locked,407
1760456519723907,92.60518,183,68,Slave,Locked,407
1760456519826086,92.528755,192,68,Slave,Locked,407
1760456519929107,92.16624,192,68,Slave,Locked,415
1760456520027637,92.05796,206,68,Slave,Locked,415
1760456520124761,91.538124,206,68,Slave,Locked,415
1760456520225540,90.84243,219,68,Slave,Locked,415
1760456520325165,89.52788,219,68,Slave,Locked,415
1760456520424737,88.65775,227,68,Slave,Locked,415
1760456520525639,86.57655,227,68,Slave,Locked,415
1760456520625155,85.72397,231,68,Slave,Locked,415
1760456520724566,84.119125,231,68,Slave,Locked,415
1760456520825533,84.24189,232,68,Slave,Locked,415
1760456520925698,83.904274,232,68,Slave,Locked,416
1760456521027356,86.3464,226,68,Slave,Locked,416
1760456521124438,86.69559,226,68,Slave,Locked,416
1760456521225184,89.286865,218,68,Slave,Locked,416
1760456521325190,89.81087,218,68,Slave,Locked,416
1760456521425169,91.51419,211,68,Slave,Locked,416
1760456521525939,92.10207,211,68,Slave,Locked,416
1760456521626495,93.19326,204,68,Slave,Locked,416
1760456521723974,93.4945,204,68,Slave,Locked,416
1760456521825393,94.34011,198,68,Slave,Locked,416
1760456521924164,95.05731,198,68,Slave,Locked,415
1760456522026872,94.72254,192,68,Slave,Locked,415
1760456522124015,95.03706,192,68,Slave,Locked,415
1760456522225750,93.97733,187,68,Slave,Locked,415
1760456522325010,94.21825,187,68,Slave,Locked,415
1760456522425140,93.21471,185,68,Slave,Locked,415
1760456522526613,93.65684,185,68,Slave,Locked,415
1760456522625759,92.92825,183,68,Slave,Locked,415
1760456522724444,93.06825,183,68,Slave,Locked,415
1760456522825827,92.249855,182,68,Slave,Locked,415
1760456522924074,92.493515,182,68,Slave,Locked,418
1760456523027229,91.37422,182,68,Slave,Locked,418
1760456523125703,91.46164,182,68.062,Slave,Locked,418
1760456523226138,90.46985,181,68,Slave,Locked,418
1760456523325994,90.22631,181,68,Slave,Locked,418
1760456523425728,89.94526,180,68,Slave,Locked,418
1760456523526721,89.90997,180,68,Slave,Locked,418
1760456523625757,89.44025,179,68,Slave,Locked,418
1760456523724220,89.39432,179,68,Slave,Locked,418
1760456523825531,89.04511,180,68,Slave,Locked,418
1760456523924101,88.91138,180,68,Slave,Locked,423
1760456524026713,88.89193,181,68,Slave,Locked,423
1760456524124201,88.953,181,68,Slave,Locked,423
1760456524225038,88.84552,181,68,Slave,Locked,423
1760456524325886,88.79508,181,68,Slave,Locked,423
1760456524424894,88.45766,181,68.062,Slave,Locked,423
1760456524525762,88.40479,181,68,Slave,Locked,423
1760456524625232,88.05532,180,68,Slave,Locked,423
1760456524724171,87.87226,180,68,Slave,Locked,423
1760456524825368,88.01371,178,68,Slave,Locked,423
1760456524924790,87.85179,178,68,Slave,Locked,433
1760456525026649,87.991455,178,68,Slave,Locked,433
1760456525124090,87.96973,178,68,Slave,Locked,433
1760456525224975,87.89783,176,68,Slave,Locked,433
1760456525324905,88.15327,176,68,Slave,Locked,433
1760456525424971,88.34644,175,68,Slave,Locked,433
1760456525526718,88.42435,175,68,Slave,Locked,433
1760456525626286,88.35137,175,68,Slave,Locked,433
1760456525725006,88.54899,175,68,Slave,Locked,433
1760456525829674,88.22894,175,68,Slave,Locked,431
1760456525924718,88.0559,175,68,Slave,Locked,431
1760456526027326,88.15353,176,68,Slave,Locked,431
1760456526125670,88.32335,176,68,Slave,Locked,431
1760456526224855,88.091446,176,68,Slave,Locked,431
1760456526325191,87.9367,176,68.062,Slave,Locked,431
1760456526424612,87.51572,176,68,Slave,Locked,431
1760456526525876,87.50753,176,68,Slave,Locked,431
1760456526625915,87.49617,177,68.062,Slave,Locked,431
1760456526725325,87.44309,177,68,Slave,Locked,431
1760456526830672,87.37882,178,68,Slave,Locked,425
1760456526924226,87.3803,178,68,Slave,Locked,425
1760456527026784,87.56385,179,68,Slave,Locked,425
1760456527125358,87.55592,179,68.062,Slave,Locked,425
1760456527225193,87.5075,180,68.062,Slave,Locked,425
1760456527325370,87.45054,180,68.062,Slave,Locked,425
1760456527425307,87.355606,180,68,Slave,Locked,425
1760456527525979,87.28468,180,68.062,Slave,Locked,425
1760456527626457,87.353325,180,68.062,Slave,Locked,425
1760456527724359,87.26349,180,68.062,Slave,Locked,425
1760456527830083,87.3987,180,68.062,Slave,Locked,425
1760456527924802,87.33618,180,68,Slave,Locked,425
1760456528027031,87.37776,181,68,Slave,Locked,425
1760456528124429,87.316414,181,68.062,Slave,Locked,425
1760456528225501,87.57623,182,68.062,Slave,Locked,425
1760456528325294,87.54971,182,68.062,Slave,Locked,425
1760456528425240,87.518456,183,68,Slave,Locked,425
1760456528526187,87.49869,183,68,Slave,Locked,425
1760456528625650,87.48632,184,68.062,Slave,Locked,425
1760456528725162,87.48918,184,68.062,Slave,Locked,425
1760456528831087,87.39878,185,68.062,Slave,Locked,428
1760456528924357,87.233765,185,68.062,Slave,Locked,428
1760456529026960,87.36507,186,68.062,Slave,Locked,428
1760456529126298,87.37543,186,68.062,Slave,Locked,428
1760456529225612,87.52327,187,68.062,Slave,Locked,428
